Full dataset,,,,,,,,,,,,,,,,,
,Field labels,GP7,SrpI-like,Gp13-like,Gp10A-like,Phage_cap_E,P22_CoatProtein,Phage_capsid,Phage_capsid_2,Linocin_M18,L_lactis_ph-MCP,DUF2184,ENC_III,ENCP4,DUF6260,DUF5309,Total
,Notes,,,,,,,,,,,,,,,,
,Generated_by,Co_occurrence_tkinter.py,,,,,,,,,,,,,,,
,Date,12/1/25,,,,,,,,,,,,,,,
Control_DTR_596921_6,Control_DTR_596921_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_376964_1,Mini_DTR_376964_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_023342_5,Mini_DTR_023342_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_501211_7,Mini_DTR_501211_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_533866_6,Control_DTR_533866_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_638742_12,Control_DTR_638742_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_651437_3,Control_DTR_651437_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_685244_13,Mini_DTR_685244_13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_394160_12,Mini_DTR_394160_12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_695978_25,Control_DTR_695978_25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Refseq_YP_009097632.1,Refseq_YP_009097632.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini_DTR_333958_1,Mini_DTR_333958_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_707963_14,Control_DTR_707963_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_401384_13,Control_DTR_401384_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_137210_3,Mini_DTR_137210_3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Control_DTR_331758_8,Control_DTR_331758_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_258728_2,Control_DTR_258728_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_122154_8,Control_DTR_122154_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_233894_20,Control_DTR_233894_20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_152302_15,Control_DTR_152302_15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_513107_6,Mini_DTR_513107_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_194538_10,Control_DTR_194538_10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Control_DTR_297376_5,Control_DTR_297376_5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Mini_DTR_584709_7,Mini_DTR_584709_7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_759812_10,Mini_DTR_759812_10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_599108_16,Control_DTR_599108_16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_009109_2,Mini_DTR_009109_2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
Control_DTR_349085_5,Control_DTR_349085_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Control_DTR_318824_19,Control_DTR_318824_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_142910_6,Control_DTR_142910_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
